,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
1452,Atk389,1.84E-06,59.593,25.992,Inf,0.533741059,NA,1.85713339,Inf,Inf,13.377,NA
1453,Atk39,1.86E-06,53.304,20.488,89.287,0.469098666,0.327532201,1.750865207,35.983,68.799,20.196,0.141566465
1454,Atk390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,Atk391,1.49E-06,54.349,26.97,Inf,0.687141161,0.241429299,2.248299346,Inf,Inf,12.523,0.445711862
1456,Atk392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1457,Atk393,1.51E-06,54.028,27.264,92.27,0.694275858,0.473688731,2.267170061,38.242,65.006,11.073,0.220587127
1458,Atk394,1.59E-06,56.717,30.905,88.51,0.801800253,0.367023047,2.55614834,31.793,57.605,12.289,0.434777205
1459,Atk395,1.36E-06,58.09,33.067,96.199,0.91783573,0.489468303,2.91115189,38.109,63.132,10.965,0.428367428
1460,Atk396,1.58E-06,61.369,34.336,70.242,NA,1.255502122,NA,8.873,35.906,8.319,NA
1461,Atk397,1.28E-06,55.416,35.773,82.451,1.208163603,0.361522172,NA,27.035,46.678,9.293,0.846641431
1462,Atk398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1463,Atk399,1.59E-06,51.595,39.042,Inf,-1.059773703,-0.076030507,0.253700959,Inf,Inf,8.255,-0.983743196
1464,Atk4,1.62E-06,56.997,23.125,64.318,0.472522337,1.403608498,1.745598522,7.321,41.193,11.273,-0.931086161
1465,Atk40,2.19E-06,58.954,20.258,103.595,0.401800739,0.224615728,1.602833372,44.641,83.337,22.092,0.177185012
1466,Atk400,1.85E-06,54.051,22.758,87.349,0.551935666,0.134575116,1.912646444,33.298,64.591,11.936,0.417360551
1467,Atk401,1.83E-06,55.013,30.756,58.656,0.883965549,NA,2.82469029,3.643,27.9,6.071,NA
1468,Atk402,1.57E-06,53.473,33.825,68.98,1.119254354,0.710532541,NA,15.507,35.155,10.439,0.408721813
1469,Atk403,1.64E-06,52.953,27.251,83.413,0.768012398,0.292107741,2.507742283,30.46,56.162,15.135,0.475904657
1470,Atk404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1471,Atk405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1472,Atk406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1473,Atk407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1474,Atk408,1.58E-06,57,25.328,Inf,0.555960991,NA,1.919612836,Inf,Inf,12.836,NA
1475,Atk409,1.79E-06,45.317,17.738,83.44,0.513431746,0.364724575,1.886423612,38.123,65.702,17.803,0.148707171
1476,Atk41,2.06E-06,55.55,21.686,83.769,0.476088587,0.417526783,1.75678629,28.219,62.083,18.089,0.058561805
1477,Atk410,1.91E-06,59,26.16,Inf,0.526911904,NA,1.845578386,Inf,Inf,8.802,NA
1478,Atk411,1.51E-06,56.027,34.811,80.469,1.065431421,0.590375776,NA,24.442,45.658,10.992,0.475055645
1479,Atk412,1.44E-06,56.708,32.111,103.6,0.909033333,NA,2.905101388,46.892,71.489,9.624,NA
1480,Atk413,1.75E-06,57,27.654,Inf,0.625307902,NA,2.067879882,Inf,Inf,7.653,NA
1481,Atk414,1.71E-06,57,30.859,Inf,0.823757568,NA,2.621372672,Inf,Inf,6.283,NA
1482,Atk415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1483,Atk416,1.79E-06,54.643,39.835,66.494,-0.653424148,0.44881848,0.424046707,11.851,26.659,6.097,-1.102242628
1484,Atk417,2.30E-06,59,30.908,Inf,0.738452615,NA,2.344562142,Inf,Inf,5.719,NA
1485,Atk418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1486,Atk419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1487,Atk42,3.01E-06,52.763,9.231,73.371,0.303513122,0.521314154,1.4464664,20.608,64.14,18.492,-0.217801032
1488,Atk420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1489,Atk421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1490,Atk422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,Atk423,1.81E-06,58,32.019,Inf,0.779874752,NA,2.469789001,Inf,Inf,8.382,NA
1492,Atk424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1493,Atk425,1.58E-06,58,27.948,Inf,0.601984484,NA,2.015863662,Inf,Inf,12.44,NA
1494,Atk426,1.22E-06,57,28.131,Inf,0.6191437,NA,2.067351851,Inf,Inf,15.58,NA
1495,Atk427,1.15E-06,58,28.73,Inf,0.632988377,NA,2.098886998,Inf,Inf,16.464,NA
1496,Atk428,1.62E-06,56,30.597,Inf,0.780978444,NA,2.497291425,Inf,Inf,6.301,NA
1497,Atk429,-6.65E-10,11,11,11,NA,0.301408308,NA,0,0,#NAME?,NA
1498,Atk43,3.89E-06,53.454,3.063,77.956,0.24785277,0.404396869,1.354056198,24.502,74.893,21.078,-0.1565441
1499,Atk430,1.50E-06,57,30.624,Inf,0.890183384,NA,2.825186652,Inf,Inf,3.745,NA
1500,Atk431,1.59E-06,56.802,36.31,61.756,NA,1.665320235,NA,4.954,25.446,5.398,NA
1501,Atk432,2.21E-06,57,25.221,Inf,0.612115835,NA,2.044809877,Inf,Inf,6.533,NA
1502,Atk433,1.10E-06,55.676,41.986,61.173,-0.590636626,NA,NA,5.497,19.187,3.334,NA
1503,Atk434,9.39E-07,57,36.453,Inf,-0.726329814,NA,0.380842258,Inf,Inf,1.766,NA
1504,Atk435,1.30E-06,56.351,43.147,66.039,-0.533961464,NA,NA,9.688,22.892,4.024,NA
1505,Atk436,1.76E-06,54.722,38.421,57.615,-0.763533763,NA,0.366042291,2.893,19.194,3.232,NA
1506,Atk437,1.91E-06,56,34.79,Inf,1.104610389,NA,NA,Inf,Inf,3.062,NA
1507,Atk438,1.65E-06,54.553,37.133,57.494,-0.910670506,NA,NA,2.941,20.361,3.791,NA
1508,Atk439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1509,Atk44,3.06E-06,55.292,11.005,69.414,0.30314336,0.896270122,1.438288454,14.122,58.409,16.541,-0.593126762
1510,Atk440,2.13E-06,59,27.64,Inf,0.590760648,NA,1.98252607,Inf,Inf,8.641,NA
1511,Atk441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1512,Atk442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1513,Atk443,1.14E-06,53.138,33.696,60.139,1.281206861,2.174991994,NA,7.001,26.443,6.157,-0.893785134
1514,Atk444,1.27E-06,55.576,41.772,63.259,-0.550450524,1.361210258,NA,7.683,21.487,5.628,-1.911660782
1515,Atk445,1.44E-06,55.884,34.926,Inf,0.996372825,NA,NA,Inf,Inf,15.411,NA
1516,Atk446,1.50E-06,57.379,41.076,60.531,NA,NA,NA,3.152,19.455,5.075,NA
1517,Atk447,1.27E-06,55.401,39.833,58.514,-0.788579823,NA,NA,3.113,18.681,5.014,NA
1518,Atk448,1.75E-06,54.114,31.252,75.972,NA,0.724574626,NA,21.858,44.72,8.492,NA
1519,Atk449,1.11E-06,54.953,37.81,58.229,-0.752134828,5.012271934,0.370524279,3.276,20.419,6.624,-5.764406762
1520,Atk45,1.90E-06,44.523,7.783,83.353,0.30551959,0.447279898,1.46551755,38.83,75.57,27.711,-0.141760308
1521,Atk450,8.79E-07,52.712,40.333,63.9,-0.70385759,0.927500866,NA,11.188,23.567,9.569,-1.631358456
1522,Atk451,1.58E-06,57,31.929,Inf,0.900106818,NA,2.859990585,Inf,Inf,4.304,NA
1523,Atk452,1.66E-06,56.818,39.249,71.819,-0.718105781,0.487932441,NA,15.001,32.57,6.248,-1.206038222
1524,Atk453,1.95E-06,57,24.789,Inf,0.557367871,NA,1.925571824,Inf,Inf,10.42,NA
1525,Atk454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1526,Atk455,1.29E-06,57,19.986,Inf,0.432353849,NA,1.670364016,Inf,Inf,9.488,NA
