,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
214,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
