ID,sharpschoolhigh_1981,sharpschoollow_1981,sharpschoolfull_1981,best_model
Atk281,-1463.913168,-1463.913168,-1468.904549,sharpschoolhigh_1981
Atk282,-1480.851717,-1480.851717,-1526.449893,sharpschoolhigh_1981
Atk283,-1496.506952,-1496.506952,-1492.506952,sharpschoolfull_1981
Atk284,-1365.542555,-1365.542555,-1368.908153,sharpschoolhigh_1981
Atk285,-1192.353734,-1192.353734,-1195.57878,sharpschoolhigh_1981
Atk286,-1242.421052,-1242.421052,-1239.435866,sharpschoolfull_1981
Atk287,-1272.562467,-1245.925164,-1273.797792,sharpschoollow_1981
Atk288,-1290.925955,-1290.925955,-1287.728654,sharpschoolfull_1981
Atk289,-1147.263995,-1147.263995,-1144.254078,sharpschoolfull_1981
Atk29,-1568.556559,-1402.729564,-1635.009387,sharpschoollow_1981
Atk290,-1297.64983,-1297.651667,-1295.280899,sharpschoolfull_1981
Atk291,-1195.995749,-1196.006114,-1195.458292,sharpschoolfull_1981
Atk292,-1280.201333,-1280.201333,-1276.837258,sharpschoolfull_1981
Atk293,-1305.389022,-1275.406093,-1306.931396,sharpschoollow_1981
Atk294,-1324.310731,-1324.310731,-1341.844008,sharpschoolhigh_1981
Atk295,-1331.947455,-1331.947455,-1334.040267,sharpschoolhigh_1981
Atk296,-1125.372897,-1125.338331,-1129.071782,sharpschoollow_1981
Atk297,-1251.748912,-1228.100768,-1296.0345,sharpschoollow_1981
Atk298,NULL,-1609.636269,NULL,sharpschoollow_1981
Atk299,-1434.133636,-1434.133636,-1437.304328,sharpschoolhigh_1981
Atk3,-1095.286421,-1090.914171,-1118.865507,sharpschoollow_1981
Atk30,NULL,-1028.049497,NULL,sharpschoollow_1981
Atk300,-1388.467879,-1388.467879,-1387.386696,sharpschoolfull_1981
Atk301,-1175.813456,-1175.813456,-1177.109527,sharpschoolhigh_1981
Atk302,-1383.779713,-1383.779713,-1384.16559,sharpschoolhigh_1981
Atk303,-1364.399784,-1364.399784,-1363.93924,sharpschoolfull_1981
Atk304,-1527.12509,-1469.883314,-1570.727358,sharpschoollow_1981
Atk305,-1143.214517,-1095.5421,-1152.266102,sharpschoollow_1981
Atk306,-1336.617352,-1336.615787,-1340.582456,sharpschoollow_1981
Atk307,-1396.349964,-1354.455768,-1395.589365,sharpschoollow_1981
Atk308,-1188.869599,-1188.869599,-1188.147353,sharpschoolfull_1981
Atk309,-1384.637871,-1384.637871,-1386.358955,sharpschoolhigh_1981
Atk31,-1555.727324,-1555.290619,-1578.431739,sharpschoollow_1981
Atk310,-1110.459952,-1110.459952,-1107.518976,sharpschoolfull_1981
Atk311,-1196.951012,-1193.178078,-1209.183084,sharpschoollow_1981
Atk312,-1507.6629,-1467.556099,-1535.461785,sharpschoollow_1981
Atk313,-1628.909032,-1607.313049,-1662.025822,sharpschoollow_1981
Atk314,-1210.606804,-1210.606804,-1210.712487,sharpschoolhigh_1981
Atk315,-1555.441847,-1555.441847,-1570.984271,sharpschoolhigh_1981
Atk316,-1393.043331,-1393.043331,-1399.001849,sharpschoolhigh_1981
Atk317,-1249.597636,-1248.866619,-1245.776531,sharpschoolfull_1981
Atk318,-1183.414074,-1183.354676,-1179.482594,sharpschoolfull_1981
Atk319,-1297.803706,-1297.517735,-1293.888192,sharpschoolfull_1981
Atk32,NULL,-981.2766291,NULL,sharpschoollow_1981
Atk320,-1280.571828,-1280.196042,-1276.587072,sharpschoolfull_1981
Atk321,-1386.603812,-1385.320795,-1382.639692,sharpschoolfull_1981
Atk322,-1364.138722,-1363.502005,-1360.173305,sharpschoolfull_1981
Atk323,-1316.983747,-1316.818383,-1313.002956,sharpschoolfull_1981
Atk324,-1477.225311,-1474.323617,-1473.269684,sharpschoolfull_1981
Atk325,-1289.312244,-1289.290432,-1285.319984,sharpschoolfull_1981
Atk326,-1238.912057,-1238.823636,-1234.914024,sharpschoolfull_1981
Atk327,-1224.630458,-1224.485551,-1220.633877,sharpschoolfull_1981
Atk328,-1303.754672,-1303.754672,-1300.0749,sharpschoolfull_1981
Atk329,-1329.193822,-1329.193822,-1326.193336,sharpschoolfull_1981
Atk33,-1363.917042,-1358.459496,-1386.605903,sharpschoollow_1981
Atk330,-1178.611112,-1178.605248,-1174.63672,sharpschoolfull_1981
Atk331,-1311.889121,-1311.887739,-1307.908937,sharpschoolfull_1981
Atk332,NULL,-1058.506966,NULL,sharpschoollow_1981
Atk333,-1533.327512,-1519.039374,-1546.012658,sharpschoollow_1981
Atk334,-1440.596839,-1438.740864,-1447.900493,sharpschoollow_1981
Atk335,-1544.484922,-1544.482186,-1549.95129,sharpschoollow_1981
